income_band,category_l1,drcr_ind,cnt_cust,avg_prop,min_prop,max_prop,var_prop,median
13,REVERSAL,D,56,0.000643013,3.74296178051736E-007,0.0030214323,4.54582088169749E-007,0.0004742464
13,SELF,D,3,0.1518902344,0.0379057713,0.2638061941,0.0085073062,0.1539587379
13,UNKNOWN,D,11669,0.4828028521,6.02631462243153E-006,1,0.0521333426,0.4763023555
14,BOUNCE CHARGES,D,1881,0.0001099229,4.57874534731673E-007,0.0037370631,4.33886296520782E-008,3.28148853441235E-005
14,BRANCH CHARGES,D,2264,0.0001961772,7.74494878896803E-007,0.0040788618,0.000000097,9.15395066840574E-005
14,CLOSING,D,53,0.0041770845,7.10601852915715E-008,0.0443409942,8.67121670131506E-005,7.99295958131552E-005
14,CONSUMPTION,D,8704,0.2163481878,5.36534230377583E-007,1,0.0292452582,0.1752186716
14,FOREX CHARGES,D,1064,0.0005906551,3.15544461670925E-008,0.031204978,3.88989318282136E-006,7.77152890805155E-005
14,INVESTMENT,D,2601,0.0638303483,4.42581495008199E-006,1,0.0121863811,0.0217282958
14,KIDS,D,167,0.0026550194,2.43783706537215E-005,0.2996741533,0.000534021,0.0003678671
14,LOCKER CHARGES,D,147,0.0006493452,6.08383343205787E-005,0.0030637973,1.9645633124174E-007,0.0005568785
14,LOW BALANCE CHARGES,D,366,0.0010198188,1.52532592778698E-007,0.0469163097,7.29558980164242E-006,0.0004656042
14,SAVINGS,D,2932,0.1356254569,5.14962302986532E-005,1,0.034132466,0.0588950887
14,STOCK CHARGES,D,54,0.0007944128,4.94035957672168E-005,0.0021088917,3.13341859921352E-007,0.0005541184
15,,D,12,0.0121784286,0.0030157291,0.0328985825,5.7540820792728E-005,0.011326734
15,BOUNCE,D,183,0.0327979667,4.19445423176512E-005,0.3245893717,0.0021429244,0.0138849216
15,CHARITY,D,102,0.0019392746,4.86426397401374E-005,0.0178851057,0.000004574,0.0014112201
15,HOLD FUND,D,19,0.015881162,0.0006190005,0.0640855879,0.0002594197,0.009042304
15,INSURANCE,D,3065,0.0186688354,1.70752828125842E-005,0.6631144881,0.000828787,0.0112194726
15,ONLINE WALLET,D,769,0.0014934642,4.98349152167066E-007,0.0605854355,1.57155505295003E-005,0.0004310864
15,PERSONAL,D,1929,0.0329254066,3.32721782569934E-007,0.7945269346,0.0039337191,0.0108989179
15,PREMAT CHARGES,D,42,0.0001419446,2.91653368122979E-008,0.0020443983,1.06935175822405E-007,4.26253536716104E-005
15,REMITTANCE,D,5,0.0412205711,0.0038360264,0.0763795003,0.000811171,0.0285050161
15,SWEEP,D,74,0.0455058188,5.7686769139309E-008,0.3669724762,0.0062255504,0.0047972398
15,TRAVEL,D,3388,0.0091243071,4.71120347356191E-006,0.8475891948,0.000420652,0.0038398686
