youtubelink,twitterid,youtubeId,commentCount,viewCount,favoriteCount,dislikeCount,likeCount
http://m.youtube.com/watch?v=Bj3YSTu3jUs,527358914233237505,Bj3YSTu3jUs,5307.0,6542687.0,0.0,1939.0,43120
http://m.youtube.com/watch?v=VG19GmAThls&list=RDHCrqquMTKRmVY,527344993330266112,VG19GmAThls,2137.0,6777176.0,0.0,1190.0,43012
http://www.youtube.com/watch?v=iZZUY32iCzU&sns=tw,527366182966284288,iZZUY32iCzU,4436.0,8555358.0,0.0,2306.0,42281
http://youtu.be/Hk-3MU-rc0M,527336697009156097,Hk-3MU-rc0M,47829.0,14024612.0,0.0,7077.0,41616
http://youtu.be/JrXHRxzpO4o?a,527340677370097664,JrXHRxzpO4o,4644.0,10412603.0,0.0,1317.0,41304
https://www.youtube.com/watch?v=__d2FMCtgi4,527369089602580480,__d2FMCtgi4,3252.0,5479619.0,0.0,581.0,40795
http://youtu.be/1NlxTd8RxFA?a,527336336273862656,1NlxTd8RxFA,1357.0,10151339.0,0.0,729.0,40768
http://youtu.be/BxFZZo7QXts,527375569793855489,BxFZZo7QXts,993.0,837291.0,0.0,933.0,40670
http://youtu.be/dg1g4Y2BKXs,527353402892623874,dg1g4Y2BKXs,3780.0,14159646.0,0.0,2342.0,40444
https://www.youtube.com/watch?v=AJltZEOGJPg,527336210461896705,AJltZEOGJPg,2301.0,3694953.0,0.0,397.0,39779
http://youtu.be/jhgVu2lsi_k,527373325853786112,jhgVu2lsi_k,1949.0,6370640.0,0.0,667.0,39449
http://youtu.be/KWfHEDgLLmw?a,527339964371976192,KWfHEDgLLmw,6112.0,1917726.0,0.0,489.0,39227
http://bit.ly/1vbxqrY,527366573032361984,vQplSh6diqs,6283.0,1289621.0,0.0,366.0,39044
http://youtu.be/PXfSe0M93fM,527366430430224384,PXfSe0M93fM,4862.0,4901469.0,0.0,998.0,39004
http://youtu.be/iBFRY0iUURU?a,527343181386362880,iBFRY0iUURU,2957.0,641221.0,0.0,737.0,38791
http://youtu.be/JumcC5jFcQc,527339930796584960,JumcC5jFcQc,2843.0,2089988.0,0.0,151.0,38782
http://youtu.be/YkwQbuAGLj4?a,527369781670723584,YkwQbuAGLj4,6905.0,11072335.0,0.0,959.0,38765
http://www.youtube.com/watch?v=MepXBJjsNxs,527350110376579072,MepXBJjsNxs,4537.0,6327331.0,0.0,1378.0,38672
http://www.youtube.com/watch?v=ze2gsp1oX5o&feature=youtube_gdata,527369005724876800,ze2gsp1oX5o,2074.0,2398746.0,0.0,507.0,38484
http://youtu.be/McUj4t3TkPA,527349779013988352,McUj4t3TkPA,3063.0,4670967.0,0.0,851.0,38365
http://youtu.be/NtzceLzw7os?a,527348059357712384,NtzceLzw7os,2281.0,701524.0,0.0,291.0,38277
http://youtu.be/OlqEj3TcAEI?a,527355227435855873,OlqEj3TcAEI,2195.0,2896174.0,0.0,1151.0,38239
http://youtu.be/tu2vllSh528,527336566947995648,tu2vllSh528,3179.0,3626358.0,0.0,750.0,38227
http://youtu.be/rvj2O-O6JGQ,527360864567844864,rvj2O-O6JGQ,3489.0,1828640.0,0.0,118.0,37928
http://m.youtube.com/watch?v=Y-2IhsKfBms,527340970980155392,Y-2IhsKfBms,1900.0,2223560.0,0.0,572.0,36678
https://www.youtube.com/watch?v=ehkoZE7BCJU&hd=1,527337078669856769,ehkoZE7BCJU,2501.0,1330412.0,0.0,842.0,36077
https://m.youtube.com/watch?v=b1XGPvbWn0A,527367848096985088,b1XGPvbWn0A,144026.0,40582102.0,0.0,36875.0,36019
http://www.youtube.com/watch?v=iD4qsWnjsNU,527350181679730690,iD4qsWnjsNU,4231.0,10957321.0,0.0,1508.0,35693
http://youtu.be/nKlFt2ROyWI,527336097223688192,nKlFt2ROyWI,1757.0,23183752.0,0.0,2446.0,35605
http://youtu.be/3BEuWnsFbN8,527367181194231808,3BEuWnsFbN8,878.0,7898506.0,0.0,1408.0,35328
http://youtu.be/oABz2i6Ac8s,527353390318116864,oABz2i6Ac8s,3067.0,7683118.0,0.0,1137.0,34715
http://www.youtube.com/watch?v=kfchvCyHmsc,527350575927934976,kfchvCyHmsc,2468.0,6644285.0,0.0,401.0,34699
http://youtu.be/xD3G6eM3tPI,527357366510321664,xD3G6eM3tPI,5714.0,9254463.0,0.0,829.0,34238
http://youtu.be/V4-fyj4Da00?a,527346180292751361,V4-fyj4Da00,1466.0,472704.0,0.0,538.0,33326
http://youtu.be/XPLDKA8MPLc,527371874637193217,XPLDKA8MPLc,1184.0,25738820.0,0.0,5021.0,33247
http://youtu.be/N9ZPfjYYKAc,527335212191981568,N9ZPfjYYKAc,2301.0,947310.0,0.0,248.0,32929
http://youtu.be/dK99dvJO5PY,527368984723611648,dK99dvJO5PY,8681.0,14922124.0,0.0,4969.0,32800
https://www.youtube.com/watch?v=ere2Mstl8ww,527335715517239297,ere2Mstl8ww,1857.0,5112591.0,0.0,512.0,32741
https://m.youtube.com/watch?v=EJ5tKijvrNs,527338731221839872,EJ5tKijvrNs,2356.0,799831.0,0.0,115.0,32135
http://youtu.be/FlMBcTGJ4YM,527369882329812992,FlMBcTGJ4YM,8304.0,10066568.0,0.0,675.0,32083
http://youtu.be/MTCNfQjyqc8?a,527350806618464256,MTCNfQjyqc8,2109.0,4580325.0,0.0,700.0,32029
http://youtu.be/tFz1jK6sGIU,527364731728691201,tFz1jK6sGIU,3736.0,10865111.0,0.0,1142.0,31474
http://youtu.be/MslDnwerQRA,527337581973757953,MslDnwerQRA,2842.0,5520327.0,0.0,671.0,31222
http://www.youtube.com/watch?v=UH-80QTl1dI,527365486708023296,UH-80QTl1dI,1618.0,2213140.0,0.0,231.0,30871
https://www.youtube.com/watch?v=yd-T8cJJjJI,527357437813477376,yd-T8cJJjJI,1590.0,1253254.0,0.0,198.0,30857
http://youtu.be/EIPHZ0aeJDs,527351272177799169,EIPHZ0aeJDs,4080.0,23434234.0,0.0,1988.0,30735
http://www.youtube.com/watch?v=X6FUrfHYRQE&feature=youtube_gdata_player,527370675062079488,X6FUrfHYRQE,1433.0,7217570.0,0.0,1232.0,30574
http://bit.ly/DanceBasantiSong,527374215054249984,juZN67BA_5w,540.0,18715512.0,0.0,3403.0,30542
http://youtu.be/HbHLBwVWuEM?a,527368007450783744,HbHLBwVWuEM,2024.0,1829584.0,0.0,460.0,30524
http://youtu.be/oEOGMwg6-ac,527368770814087168,oEOGMwg6-ac,2955.0,5791293.0,0.0,1620.0,30321
http://youtu.be/SI7Ofe1akkU,527343739216216065,SI7Ofe1akkU,2146.0,8416653.0,0.0,4530.0,29877
https://www.youtube.com/watch?v=vp2x7rdBtkk&list=UUK4lZM1dC6jEDzEhwPYvqMw,527367260873449472,vp2x7rdBtkk,2597.0,573649.0,0.0,173.0,29815
http://youtu.be/81YLcQn-EyY,527356619928002560,81YLcQn-EyY,1359.0,4096763.0,0.0,676.0,29552
http://youtu.be/qz4hbOQzKJE?a,527342405423337472,qz4hbOQzKJE,756.0,1421351.0,0.0,779.0,29362
http://youtu.be/6iuMbA0E1rk,527341772100628480,6iuMbA0E1rk,6820.0,1041598.0,0.0,326.0,28718
http://bit.ly/1rkCx6S,527337229681586176,YSp8ZqIKEIM,5611.0,9295299.0,0.0,2306.0,28597
http://youtu.be/4O9OCrkSLzs?a,527376270238035968,4O9OCrkSLzs,1284.0,1945296.0,0.0,288.0,28328
http://youtu.be/OOO4ROO_sPM,527370280788701184,OOO4ROO_sPM,3373.0,12709429.0,0.0,1063.0,28088
http://www.youtube.com/watch?v=dVFKVCQPIjo,527336113975742464,dVFKVCQPIjo,1641.0,6113842.0,0.0,866.0,27826
https://www.youtube.com/watch?feature=player_embedded&v=YDhU2vPXAjY,527360755503357954,YDhU2vPXAjY,1359.0,1408179.0,0.0,829.0,26924
https://m.youtube.com/watch?v=IYMKQKSV0bY,527345974793216000,IYMKQKSV0bY,3459.0,2487624.0,0.0,3763.0,26819
